site,date,time
26 wood A,8/27/2018,10:07
26 wood A,9/3/2018,9:11
26 wood A,9/10/2018,9:37
26 wood A,9/17/2018,9:35
26 wood A,9/26/2018,10:13
26 wood B,8/27/2018,10:07
26 wood B,9/3/2018,9:11
26 wood B,9/10/2018,9:37
26 wood B,9/17/2018,9:35
26 wood B,9/26/2018,10:13
91 St A,8/28/2018,9:46
91 St A,9/4/2018,9:16
91 St A,9/11/2018,9:10
91 St A,9/18/2018,9:21
91 St A,9/28/2018,9:23
91 St B,8/28/2018,9:46
91 St B,9/4/2018,9:16
91 St B,9/11/2018,9:10
91 St B,9/18/2018,9:21
91 St B,9/28/2018,9:23
Bemis rope A,8/27/2018,12:42
Bemis rope A,9/3/2018,11:07
Bemis rope A,9/10/2018,11:27
Bemis rope A,9/17/2018,11:13
Bemis rope A,9/26/2018,12:04
Bemis rope B,8/27/2018,12:42
Bemis rope B,9/3/2018,11:07
Bemis rope B,9/10/2018,11:27
Bemis rope B,9/17/2018,11:13
Bemis rope B,9/26/2018,12:04
Bemis south A,8/27/2018,11:59
Bemis south A,9/3/2018,10:43
Bemis south A,9/10/2018,11:04
Bemis south A,9/17/2018,10:43
Bemis south A,9/26/2018,11:36
Bemis south B,8/27/2018,11:59
Bemis south B,9/3/2018,10:43
Bemis south B,9/10/2018,11:04
Bemis south B,9/17/2018,10:43
Bemis south B,9/26/2018,11:36
Bemis wolf A,8/27/2018,11:38
Bemis wolf A,9/3/2018,10:23
Bemis wolf A,9/10/2018,10:43
Bemis wolf A,9/17/2018,10:31
Bemis wolf A,9/26/2018,11:23
Bemis wolf B,8/27/2018,11:38
Bemis wolf B,9/3/2018,10:23
Bemis wolf B,9/10/2018,10:43
Bemis wolf B,9/17/2018,10:31
Bemis wolf B,9/26/2018,11:23
Bluff cass A,8/28/2018,9:13
Bluff cass A,9/4/2018,8:50
Bluff cass A,9/11/2018,8:43
Bluff cass A,9/18/2018,8:56
Bluff cass A,9/28/2018,9:02
Bluff cass B,8/28/2018,9:13
Bluff cass B,9/4/2018,8:50
Bluff cass B,9/11/2018,8:43
Bluff cass B,9/18/2018,8:56
Bluff cass B,9/28/2018,9:02
Bluff PO A,8/28/2018,8:38
Bluff PO A,9/4/2018,8:21
Bluff PO A,9/11/2018,8:20
Bluff PO A,9/18/2018,8:28
Bluff PO A,9/28/2018,8:35
Bluff PO B,8/28/2018,8:38
Bluff PO B,9/4/2018,8:21
Bluff PO B,9/11/2018,8:20
Bluff PO B,9/18/2018,8:28
Bluff PO B,9/28/2018,8:35
Brezina A,8/27/2018,10:34
Brezina A,9/3/2018,9:34
Brezina A,9/10/2018,10:04
Brezina A,9/17/2018,9:55
Brezina A,9/26/2018,10:36
Brezina B,8/27/2018,10:34
Brezina B,9/3/2018,9:34
Brezina B,9/10/2018,10:04
Brezina B,9/17/2018,9:55
Brezina B,9/26/2018,10:36
Deerpath A,8/28/2018,10:55
Deerpath A,9/4/2018,10:17
Deerpath A,9/11/2018,10:15
Deerpath A,9/18/2018,10:16
Deerpath A,9/28/2018,10:15
Deerpath B,8/28/2018,10:55
Deerpath B,9/4/2018,10:17
Deerpath B,9/11/2018,10:15
Deerpath B,9/18/2018,10:16
Deerpath B,9/28/2018,10:15
Front ninja A,8/28/2018,11:26
Front ninja A,9/4/2018,10:42
Front ninja A,9/11/2018,10:41
Front ninja A,9/18/2018,10:42
Front ninja A,9/28/2018,10:44
Front ninja B,8/28/2018,11:26
Front ninja B,9/4/2018,10:42
Front ninja B,9/11/2018,10:41
Front ninja B,9/18/2018,10:42
Front ninja B,9/28/2018,10:44
Lemont 101 A,8/28/2018,11:53
Lemont 101 A,9/4/2018,11:06
Lemont 101 A,9/11/2018,11:04
Lemont 101 A,9/18/2018,11:04
Lemont 101 A,9/28/2018,11:08
Lemont 101 B,8/28/2018,11:53
Lemont 101 B,9/4/2018,11:06
Lemont 101 B,9/11/2018,11:04
Lemont 101 B,9/18/2018,11:04
Lemont 101 B,9/28/2018,11:08
Lib A,8/27/2018,9:13
Lib A,9/3/2018,8:35
Lib A,9/10/2018,8:59
Lib A,9/17/2018,9:05
Lib A,9/26/2018,9:30
Lib B,8/27/2018,9:13
Lib B,9/3/2018,8:35
Lib B,9/10/2018,8:59
Lib B,9/17/2018,9:05
Lib B,9/26/2018,9:30
Otta A,8/27/2018,8:39
Otta A,9/3/2018,8:09
Otta A,9/10/2018,8:26
Otta A,9/17/2018,8:41
Otta A,9/26/2018,9:01
Otta B,8/27/2018,8:39
Otta B,9/3/2018,8:09
Otta B,9/10/2018,8:26
Otta B,9/17/2018,8:41
Otta B,9/26/2018,9:01
Port_woods_A,8/27/2018,8:10
Port_woods_A,9/3/2018,7:47
Port_woods_A,9/10/2018,8:00
Port_woods_A,9/17/2018,8:17
Port_woods_A,9/26/2018,8:43
Port_woods_B,8/27/2018,8:10
Port_woods_B,9/3/2018,7:47
Port_woods_B,9/10/2018,8:00
Port_woods_B,9/17/2018,8:17
Port_woods_B,9/26/2018,8:43
Possum A,8/27/2018,11:02
Possum A,9/3/2018,9:55
Possum A,9/10/2018,10:24
Possum A,9/17/2018,10:13
Possum A,9/26/2018,10:57
Possum B,8/27/2018,11:02
Possum B,9/3/2018,9:55
Possum B,9/10/2018,10:24
Possum B,9/17/2018,10:13
Possum B,9/26/2018,10:57
Sunny A,8/27/2018,9:38
Sunny A,9/3/2018,8:50
Sunny A,9/10/2018,9:18
Sunny A,9/17/2018,9:19
Sunny A,9/26/2018,9:51
Sunny B,8/27/2018,9:38
Sunny B,9/3/2018,8:50
Sunny B,9/10/2018,9:18
Sunny B,9/17/2018,9:19
Sunny B,9/26/2018,9:51
WFG left A,8/28/2018,13:14
WFG left A,9/4/2018,11:48
WFG left A,9/11/2018,11:46
WFG left A,9/18/2018,11:39
WFG left A,9/28/2018,12:03
WFG left B,8/28/2018,13:14
WFG left B,9/4/2018,11:48
WFG left B,9/11/2018,11:46
WFG left B,9/18/2018,11:39
WFG left B,9/28/2018,12:03
WFG main A,8/28/2018,10:16
WFG main A,9/4/2018,9:42
WFG main A,9/11/2018,9:45
WFG main A,9/18/2018,9:51
WFG main A,9/28/2018,9:46
WFG main B,8/28/2018,10:16
WFG main B,9/4/2018,9:42
WFG main B,9/11/2018,9:45
WFG main B,9/18/2018,9:51
WFG main B,9/28/2018,9:46
WFG right A,8/28/2018,12:38
WFG right A,9/4/2018,11:52
WFG right A,9/11/2018,11:48
WFG right A,9/18/2018,11:40
WFG right A,9/28/2018,11:45
WFG right B,8/28/2018,12:38
WFG right B,9/4/2018,11:52
WFG right B,9/11/2018,11:48
WFG right B,9/18/2018,11:40
WFG right B,9/28/2018,11:45
York A,8/27/2018,13:03
York A,9/3/2018,11:36
York A,9/10/2018,11:54
York A,9/17/2018,11:50
York A,9/28/2018,12:39
York B,8/27/2018,13:03
York B,9/3/2018,11:36
York B,9/10/2018,11:54
York B,9/17/2018,11:50
York B,9/28/2018,12:39
