"coords.x1","coords.x2"
433267.953200519,4628554.40756926
433138.935445557,4628527.85565322
433172.693384167,4629619.39470246
433221.783209159,4629539.35999608
432008.005280492,4630594.56493552
432139.142471693,4630556.30345632
429652.762835872,4632492.08572675
429709.967764866,4632398.99036992
428520.687670359,4632623.63542406
428561.613169444,4632702.80312461
427107.223768909,4633111.71159294
427180.635275204,4632983.26662716
426859.690595651,4631913.17542039
426786.026181565,4632017.56826455
424903.211920247,4631304.2854245
424907.501429288,4631185.79786446
425221.343298709,4630358.9598968
425248.980293336,4630486.36531823
424252.599891392,4630776.32339711
424141.695579847,4630760.84580632
420780.052652833,4617570.70184112
420853.606241821,4617575.44081651
420041.56879543,4617508.58157103
419990.739606064,4617427.72094227
420104.231552541,4619147.55749109
420100.07581148,4619023.60988326
418912.126519695,4619664.33667192
418949.405564336,4619773.10313911
417698.546752682,4619383.92808954
417610.634395838,4619334.9710791
416567.472062454,4618219.98999725
416627.014894439,4618093.45142959
416561.330391328,4617335.44071045
416684.704178377,4617330.30405342
417150.766122232,4615896.18754611
417226.411240483,4615960.08749213
416826.336454876,4616149.78420834
416901.410008786,4616284.01223488
422543.230842525,4634486.77468867
422631.226837725,4634563.54735259
